epoch,train_loss,train_mae,train_rmse,train_r2,val_loss,val_mae,val_rmse,val_r2,learning_rate
1,0.009484688273411113,0.040134348,0.055814564,0.5123756541578368,0.004240725978821654,0.02764256,0.035464462,0.7992764077280841,9.998914383200491e-05
2,0.004486900491562436,0.028722318,0.037020467,0.785476836568047,0.003755708628543425,0.027223412,0.034098256,0.8144434201666889,9.995658008989358e-05
3,0.003465051649850446,0.025091518,0.032521296,0.834451221279845,0.004518068739618544,0.027533282,0.03451672,0.8098612602782106,9.990232305719952e-05
4,0.0028654563810344754,0.02239563,0.029450765,0.8642361164773753,0.0027383482288447867,0.022566292,0.028742595,0.8681549872818255,9.982639653285068e-05
5,0.0023908423598939343,0.020436477,0.027032029,0.8856208275516502,0.0030054237193505844,0.024349172,0.029786672,0.85840237483915,9.972883382072968e-05
6,0.0020971562169249634,0.018970799,0.025016313,0.9020426147061555,0.0020422087014065277,0.019377716,0.025151981,0.8990384071428215,9.960967771506709e-05
7,0.0019354373832538212,0.01833395,0.024252718,0.9079315381645214,0.002389160217970092,0.02020308,0.02690039,0.884514000784159,9.946898048166834e-05
8,0.0017970091837801148,0.017393427,0.023351913,0.9146438108917154,0.0017380956021905043,0.016793031,0.022606777,0.9184378164201076,9.930680383499045e-05
9,0.0015248906547741408,0.016113734,0.021431146,0.9281079351305777,0.00218204823428771,0.020348229,0.026126655,0.8910620111167336,9.91232189110707e-05
10,0.0015242933372041697,0.016020354,0.02150215,0.9276306738163576,0.0015256918934411516,0.015366549,0.02137204,0.9271039488064978,9.891830623632409e-05
11,0.0014150487943832921,0.0154001005,0.020583224,0.9336841540435887,0.003280410014980763,0.022882491,0.029444596,0.8616360244426601,9.869215569222209e-05
12,0.0013551889625439588,0.014998542,0.020148702,0.9364544783702251,0.002422572097141421,0.0209843,0.02803898,0.8745310630253561,9.844486647586783e-05
13,0.0012618017261613818,0.014573427,0.019554779,0.9401455784750117,0.0027512779922490528,0.023818877,0.0285909,0.8695429831893748,9.817654705648474e-05
14,0.001175170318116701,0.013974983,0.018976046,0.9436360091896698,0.002466314311981622,0.021541327,0.026917197,0.8843698095644654,9.788731512783784e-05
15,0.0010907536771119144,0.013232035,0.018109346,0.9486670728135717,0.0014739784010889233,0.014772506,0.021074185,0.929121637199082,9.757729755661045e-05
16,0.000999603743144859,0.012827685,0.017281853,0.9532510757855679,0.00161202725573634,0.015514501,0.021584252,0.9256491531962909,9.724663032675564e-05
17,0.0009793764376747013,0.012626836,0.017133137,0.9540522035471597,0.0012877012983957522,0.013947728,0.019468917,0.939508391015561,9.689545847984907e-05
18,0.0009855816843874347,0.012554387,0.017267197,0.9533303407323432,0.0016239345451386142,0.016609222,0.022005506,0.9227186490646032,9.652393605146886e-05
